msoa name,2004,2007,2010
Lancaster 001,0.08,0.08,0.07
Lancaster 002,0.04,0.04,0.04
Lancaster 003,0.05,0.05,0.05
Lancaster 004,0.03,0.03,0.03
Lancaster 005,0.04,0.04,0.04
Lancaster 006,0.06,0.06,0.07
Lancaster 007,,,
Lancaster 008,0.05,0.05,0.05
Lancaster 009,0.04,0.04,0.05
Lancaster 010,0.06,0.06,0.06
Lancaster 011,0.08,0.07,0.08
Lancaster 012,,,
Lancaster 013,0.05,0.05,0.05
Lancaster 014,0.03,0.03,0.03
Lancaster 015,0.02,0.02,0.03
Lancaster 016,0.1,0.1,0.11
Lancaster 017,0.07,0.07,0.07
Lancaster 018,0.04,0.04,0.04
Lancaster 019,0.04,0.05,0.04
