County,District code,District name,LA Classification,Middle SOA code,Middle SOA name,Morphology & Context combined name (MSOA),Lower SOA code,Lower SOA name,Combined Morphology & Context (LSOA),COA code,Combined Morphology & Context (COA),Ward code,Ward name,Combined Morphology & Context (ward)
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025088,Lancaster 001A,Town and Fringe - Less Sparse,30UHGH0012,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025088,Lancaster 001A,Town and Fringe - Less Sparse,30UHGH0013,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025088,Lancaster 001A,Town and Fringe - Less Sparse,30UHGH0014,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025088,Lancaster 001A,Town and Fringe - Less Sparse,30UHGH0015,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025096,Lancaster 001B,Town and Fringe - Less Sparse,30UHGK0003,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025096,Lancaster 001B,Town and Fringe - Less Sparse,30UHGK0005,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025096,Lancaster 001B,Town and Fringe - Less Sparse,30UHGK0006,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025096,Lancaster 001B,Town and Fringe - Less Sparse,30UHGK0010,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025096,Lancaster 001B,Town and Fringe - Less Sparse,30UHGK0012,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025097,Lancaster 001C,Town and Fringe - Less Sparse,30UHGK0007,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025097,Lancaster 001C,Town and Fringe - Less Sparse,30UHGK0008,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025097,Lancaster 001C,Town and Fringe - Less Sparse,30UHGK0009,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025097,Lancaster 001C,Town and Fringe - Less Sparse,30UHGK0011,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025097,Lancaster 001C,Town and Fringe - Less Sparse,30UHGK0013,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025098,Lancaster 001D,Town and Fringe - Less Sparse,30UHGK0001,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025098,Lancaster 001D,Town and Fringe - Less Sparse,30UHGK0002,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
