Middle SOA code,Middle SOA name,LSOA.CODE,Lower SOA name,Ward name
E02005221,Lancaster 001,E01025088,Lancaster 001A,Bolton-le-Sands
E02005221,Lancaster 001,E01025088,Lancaster 001A,Bolton-le-Sands
E02005221,Lancaster 001,E01025088,Lancaster 001A,Bolton-le-Sands
E02005221,Lancaster 001,E01025088,Lancaster 001A,Bolton-le-Sands
E02005221,Lancaster 001,E01025096,Lancaster 001B,Carnforth
E02005221,Lancaster 001,E01025096,Lancaster 001B,Carnforth
E02005221,Lancaster 001,E01025096,Lancaster 001B,Carnforth
E02005221,Lancaster 001,E01025096,Lancaster 001B,Carnforth
E02005221,Lancaster 001,E01025096,Lancaster 001B,Carnforth
E02005221,Lancaster 001,E01025097,Lancaster 001C,Carnforth
E02005221,Lancaster 001,E01025097,Lancaster 001C,Carnforth
E02005221,Lancaster 001,E01025097,Lancaster 001C,Carnforth
E02005221,Lancaster 001,E01025097,Lancaster 001C,Carnforth
E02005221,Lancaster 001,E01025097,Lancaster 001C,Carnforth
E02005221,Lancaster 001,E01025098,Lancaster 001D,Carnforth
E02005221,Lancaster 001,E01025098,Lancaster 001D,Carnforth
E02005221,Lancaster 001,E01025098,Lancaster 001D,Carnforth
E02005221,Lancaster 001,E01025098,Lancaster 001D,Carnforth
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025148,Lancaster 001E,Silverdale
E02005221,Lancaster 001,E01025168,Lancaster 001F,Warton
E02005221,Lancaster 001,E01025168,Lancaster 001F,Warton
E02005221,Lancaster 001,E01025168,Lancaster 001F,Warton
E02005221,Lancaster 001,E01025168,Lancaster 001F,Warton
E02005221,Lancaster 001,E01025169,Lancaster 001G,Warton
E02005221,Lancaster 001,E01025169,Lancaster 001G,Warton
E02005221,Lancaster 001,E01025169,Lancaster 001G,Warton
E02005221,Lancaster 001,E01025169,Lancaster 001G,Warton
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025130,Lancaster 002A,Kellet
E02005222,Lancaster 002,E01025132,Lancaster 002B,Lower Lune Valley
